[Tue Sep 15 11:20:32.221997 2015] [authz_core:error] [pid 3230:tid 3062889280] [client 127.0.0.1:47107] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/index.php
[Tue Sep 15 11:20:33.057004 2015] [authz_core:error] [pid 3230:tid 3054496576] [client 127.0.0.1:47107] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/index.php
[Tue Sep 15 11:20:33.510099 2015] [authz_core:error] [pid 3230:tid 3046103872] [client 127.0.0.1:47107] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/index.php
[Tue Sep 15 11:20:38.194339 2015] [authz_core:error] [pid 3230:tid 3037711168] [client 127.0.0.1:47107] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/
[Tue Sep 15 11:20:39.616765 2015] [authz_core:error] [pid 3230:tid 3029318464] [client 127.0.0.1:47107] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/
[Tue Sep 15 11:23:15.174982 2015] [authz_core:error] [pid 3323:tid 3020925760] [client 127.0.0.1:47204] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/
[Tue Sep 15 11:23:15.959880 2015] [authz_core:error] [pid 3323:tid 3012533056] [client 127.0.0.1:47204] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/
[Tue Sep 15 11:23:16.566586 2015] [authz_core:error] [pid 3323:tid 3004140352] [client 127.0.0.1:47204] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/
[Tue Sep 15 11:23:17.263846 2015] [authz_core:error] [pid 3323:tid 2995747648] [client 127.0.0.1:47204] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/
[Wed Sep 16 17:16:53.623781 2015] [:error] [pid 5587] [client 127.0.0.1:41524] PHP Notice:  Undefined variable: dbHost in /home/doctor_lapt/Sites/MyBlog/index.php on line 20
[Wed Sep 16 17:54:40.734383 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Wed Sep 16 17:54:40.734811 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Wed Sep 16 17:54:40.734847 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Wed Sep 16 17:54:40.734870 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Warning:  mysql_close() expects parameter 1 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 13
[Wed Sep 16 17:57:52.357088 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Notice:  Undefined variable: dbHost in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:57:52.357176 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Notice:  Undefined variable: dbAdminLog in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:57:52.357195 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Notice:  Undefined variable: dbAdminPas in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:57:52.357242 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:57:52.362414 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Warning:  mysql_connect(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:57:52.362486 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Notice:  Undefined variable: dbName in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 10
[Wed Sep 16 17:57:52.362515 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Warning:  mysql_select_db() expects parameter 2 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 10
[Wed Sep 16 17:57:52.362544 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Wed Sep 16 17:57:52.363006 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Wed Sep 16 17:57:52.363041 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Wed Sep 16 17:57:52.363068 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Wed Sep 16 17:57:52.363447 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Wed Sep 16 17:57:52.363482 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Wed Sep 16 17:57:52.363505 2015] [:error] [pid 5585] [client 127.0.0.1:41665] PHP Warning:  mysql_close() expects parameter 1 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 13
[Wed Sep 16 17:58:51.199250 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Notice:  Undefined variable: dbHost in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:58:51.199368 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Notice:  Undefined variable: dbAdminLog in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:58:51.199385 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Notice:  Undefined variable: dbAdminPas in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:58:51.199435 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:58:51.207805 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Warning:  mysql_connect(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:58:51.207877 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Notice:  Undefined variable: dbName in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 10
[Wed Sep 16 17:58:51.207903 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Warning:  mysql_select_db() expects parameter 2 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 10
[Wed Sep 16 17:58:51.207929 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Wed Sep 16 17:58:51.208696 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Wed Sep 16 17:58:51.208739 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Wed Sep 16 17:58:51.208769 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Wed Sep 16 17:58:51.209170 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Wed Sep 16 17:58:51.209202 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Wed Sep 16 17:58:51.209227 2015] [:error] [pid 5606] [client 127.0.0.1:41666] PHP Warning:  mysql_close() expects parameter 1 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 13
[Thu Sep 17 12:18:34.324250 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Notice:  Undefined variable: dbHost in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Thu Sep 17 12:18:34.343233 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Notice:  Undefined variable: dbAdminLog in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Thu Sep 17 12:18:34.343292 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Notice:  Undefined variable: dbAdminPas in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Thu Sep 17 12:18:34.343366 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Thu Sep 17 12:18:34.380128 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Warning:  mysql_connect(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Thu Sep 17 12:18:34.380230 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Notice:  Undefined variable: dbName in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 10
[Thu Sep 17 12:18:34.380259 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Warning:  mysql_select_db() expects parameter 2 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 10
[Thu Sep 17 12:18:34.380289 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Thu Sep 17 12:18:34.380826 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Thu Sep 17 12:18:34.380863 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Thu Sep 17 12:18:34.380894 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 12:18:34.381384 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 12:18:34.381419 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 12:18:34.381445 2015] [:error] [pid 1365] [client 127.0.0.1:36737] PHP Warning:  mysql_close() expects parameter 1 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 13
[Thu Sep 17 12:19:14.837031 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Notice:  Undefined variable: dbAdminLog in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 10
[Thu Sep 17 12:19:14.837129 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Notice:  Undefined variable: dbAdminPas in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 10
[Thu Sep 17 12:19:14.837167 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 10
[Thu Sep 17 12:19:14.842370 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Warning:  mysql_connect(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 10
[Thu Sep 17 12:19:14.842445 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Notice:  Undefined variable: dbName in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Thu Sep 17 12:19:14.842470 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Warning:  mysql_select_db() expects parameter 2 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Thu Sep 17 12:19:14.842496 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 12:19:14.843860 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 12:19:14.843911 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 12:19:14.843963 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 13
[Thu Sep 17 12:19:14.845582 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 13
[Thu Sep 17 12:19:14.845636 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 13
[Thu Sep 17 12:19:14.845662 2015] [:error] [pid 1366] [client 127.0.0.1:36738] PHP Warning:  mysql_close() expects parameter 1 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 14
[Thu Sep 17 12:19:37.338560 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Notice:  Undefined variable: dbHost in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 12:19:37.338654 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Notice:  Undefined variable: dbAdminLog in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 12:19:37.338669 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Notice:  Undefined variable: dbAdminPas in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 12:19:37.338706 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 12:19:37.345760 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Warning:  mysql_connect(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 12:19:37.345826 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Notice:  Undefined variable: dbName in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 13
[Thu Sep 17 12:19:37.345850 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Warning:  mysql_select_db() expects parameter 2 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 13
[Thu Sep 17 12:19:37.345874 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 14
[Thu Sep 17 12:19:37.346457 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 14
[Thu Sep 17 12:19:37.346489 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 14
[Thu Sep 17 12:19:37.346513 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 15
[Thu Sep 17 12:19:37.346896 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 15
[Thu Sep 17 12:19:37.346923 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 15
[Thu Sep 17 12:19:37.346943 2015] [:error] [pid 1367] [client 127.0.0.1:36739] PHP Warning:  mysql_close() expects parameter 1 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 16
[Thu Sep 17 14:28:22.695550 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Warning:  Missing argument 1 for UserTypeInit(), called in /home/doctor_lapt/Sites/MyBlog/index.php on line 11 and defined in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 14:28:22.720585 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Warning:  Missing argument 2 for UserTypeInit(), called in /home/doctor_lapt/Sites/MyBlog/index.php on line 11 and defined in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 14:28:22.720650 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Warning:  Missing argument 3 for UserTypeInit(), called in /home/doctor_lapt/Sites/MyBlog/index.php on line 11 and defined in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 14:28:22.720682 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Warning:  Missing argument 4 for UserTypeInit(), called in /home/doctor_lapt/Sites/MyBlog/index.php on line 11 and defined in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 12
[Thu Sep 17 14:28:22.720713 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Notice:  Undefined variable: Host in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 15
[Thu Sep 17 14:28:22.720742 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Notice:  Undefined variable: AdminLog in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 15
[Thu Sep 17 14:28:22.720768 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Notice:  Undefined variable: AdminPas in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 15
[Thu Sep 17 14:28:22.720858 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 15
[Thu Sep 17 14:28:22.750165 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Warning:  mysql_connect(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 15
[Thu Sep 17 14:28:22.750247 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Notice:  Undefined variable: databaseName in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 16
[Thu Sep 17 14:28:22.750281 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Warning:  mysql_select_db() expects parameter 2 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 16
[Thu Sep 17 14:28:22.750314 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 17
[Thu Sep 17 14:28:22.750884 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 17
[Thu Sep 17 14:28:22.750924 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 17
[Thu Sep 17 14:28:22.750958 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 18
[Thu Sep 17 14:28:22.751396 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 18
[Thu Sep 17 14:28:22.751434 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 18
[Thu Sep 17 14:28:22.751485 2015] [:error] [pid 1654] [client 127.0.0.1:54720] PHP Warning:  mysql_close() expects parameter 1 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 19
[Thu Sep 17 14:31:40.262954 2015] [:error] [pid 2670] [client 127.0.0.1:54748] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 15
